year,party,state,date,type
2008,R,NE,2008-05-13,primary
2008,R,WV,2008-05-13,primary
2008,R,KY,2008-05-20,primary
2008,R,OR,2008-05-20,primary
2008,R,ID,2008-05-27,primary
2008,R,MT,2008-06-03,primary
2008,R,NM,2008-06-03,primary
2008,R,SD,2008-06-03,primary
2012,R,IA,2012-01-03,caucus
2012,R,NH,2012-01-10,primary
2012,R,SC,2012-01-21,primary
2012,R,FL,2012-01-31,primary
2012,R,NV,2012-02-04,caucus
2012,R,CO,2012-02-07,caucus
2012,R,MN,2012-02-07,caucus
2012,R,MO,2012-02-07,primary
2012,R,ME,2012-02-11,caucus
2012,R,AZ,2012-02-28,primary
2012,R,MI,2012-02-28,primary
2012,R,WY,2012-02-29,caucus
2012,R,WA,2012-03-03,caucus
2012,R,AK,2012-03-06,caucus
2012,R,GA,2012-03-06,primary
2012,R,ID,2012-03-06,caucus
2012,R,MA,2012-03-06,primary
2012,R,ND,2012-03-06,caucus
2012,R,OH,2012-03-06,primary
2012,R,OK,2012-03-06,primary
2012,R,TN,2012-03-06,primary
2012,R,VA,2012-03-06,primary
2012,R,VT,2012-03-06,primary
2012,R,GU,2012-03-10,caucus
2012,R,KS,2012-03-10,caucus
2012,R,MP,2012-03-10,caucus
2012,R,VI,2012-03-10,caucus
2012,R,AL,2012-03-13,primary
2012,R,AS,2012-03-13,caucus
2012,R,HI,2012-03-13,caucus
2012,R,MS,2012-03-13,primary
2012,R,MO,2012-03-17,caucus
2012,R,PR,2012-03-18,primary
2012,R,IL,2012-03-20,primary
2012,R,LA,2012-03-24,primary
2012,R,DC,2012-04-03,primary
2012,R,MD,2012-04-03,primary
2012,R,WI,2012-04-03,primary
2012,R,CT,2012-04-22,primary
2012,R,DE,2012-04-22,primary
2012,R,NY,2012-04-22,primary
2012,R,PA,2012-04-22,primary
2012,R,RI,2012-04-22,primary
2012,R,IN,2012-05-08,primary
2012,R,NC,2012-05-08,primary
2012,R,WV,2012-05-08,primary
2012,R,NE,2012-05-15,primary
2012,R,OR,2012-05-15,primary
2012,R,AR,2012-05-22,primary
2012,R,KY,2012-05-22,primary
2012,R,TX,2012-05-29,primary
2012,R,CA,2012-06-05,primary
2012,R,MT,2012-06-05,primary
2012,R,NJ,2012-06-05,primary
2012,R,NM,2012-06-05,primary
2012,R,SD,2012-06-05,primary
2012,R,UT,2012-06-26,primary
2016,D,IA,2016-02-01,caucus
2016,D,NH,2016-02-09,primary
2016,D,NV,2016-02-20,caucus
2016,D,SC,2016-02-27,primary
2016,D,AL,2016-03-01,primary
2016,D,AR,2016-03-01,primary
2016,D,AS,2016-03-01,caucus
2016,D,CO,2016-03-01,caucus
2016,D,GA,2016-03-01,primary
2016,D,MA,2016-03-01,primary
2016,D,MN,2016-03-01,caucus
2016,D,OK,2016-03-01,primary
2016,D,TN,2016-03-01,primary
2016,D,TX,2016-03-01,primary
2016,D,VA,2016-03-01,primary
2016,D,VT,2016-03-01,primary
2016,D,KS,2016-03-05,caucus
2016,D,LA,2016-03-05,primary
2016,D,NE,2016-03-05,caucus
2016,D,ME,2016-03-06,caucus
2016,D,MI,2016-03-08,primary
2016,D,MS,2016-03-08,primary
2016,D,MP,2016-03-12,caucus
2016,D,FL,2016-03-15,primary
2016,D,IL,2016-03-15,primary
2016,D,MO,2016-03-15,primary
2016,D,NC,2016-03-15,primary
2016,D,OH,2016-03-15,primary
2016,D,AZ,2016-03-22,primary
2016,D,ID,2016-03-22,caucus
2016,D,UT,2016-03-22,caucus
2016,D,AK,2016-03-26,caucus
2016,D,HI,2016-03-26,caucus
2016,D,WA,2016-03-26,caucus
2016,D,WI,2016-04-05,primary
2016,D,WY,2016-04-09,caucus
2016,D,NY,2016-04-19,primary
2016,D,CT,2016-04-26,primary
2016,D,DE,2016-04-26,primary
2016,D,MD,2016-04-26,primary
2016,D,PA,2016-04-26,primary
2016,D,RI,2016-04-26,primary
2016,D,IN,2016-05-03,primary
2016,D,GU,2016-05-07,caucus
2016,D,NE,2016-05-10,primary
2016,D,WV,2016-05-10,primary
2016,D,KY,2016-05-17,primary
2016,D,OR,2016-05-17,primary
2016,D,WA,2016-05-24,primary
2016,D,WY,2016-05-28,SC??
2016,D,VI,2016-06-04,caucus
2016,D,PR,2016-06-05,primary
2016,D,CA,2016-06-07,primary
2016,D,MT,2016-06-07,primary
2016,D,NJ,2016-06-07,primary
2016,D,ND,2016-06-07,caucus
2016,D,NM,2016-06-07,primary
2016,D,SD,2016-06-07,primary
2016,D,DC,2016-06-14,primary
2016,R,IA,2016-02-01,caucus
2016,R,NH,2016-02-09,primary
2016,R,SC,2016-02-20,primary
2016,R,NV,2016-02-23,caucus
2016,R,AK,2016-03-01,caucus
2016,R,AL,2016-03-01,primary
2016,R,AR,2016-03-01,primary
2016,R,CO,2016-03-01,caucus
2016,R,GA,2016-03-01,primary
2016,R,MA,2016-03-01,primary
2016,R,MN,2016-03-01,caucus
2016,R,OK,2016-03-01,primary
2016,R,TN,2016-03-01,primary
2016,R,TX,2016-03-01,primary
2016,R,VA,2016-03-01,primary
2016,R,VT,2016-03-01,primary
2016,R,WY,2016-03-01,caucus
2016,R,KS,2016-03-05,caucus
2016,R,KY,2016-03-05,caucus
2016,R,LA,2016-03-05,primary
2016,R,ME,2016-03-05,caucus
2016,R,PR,2016-03-06,primary
2016,R,HI,2016-03-08,caucus
2016,R,ID,2016-03-08,primary
2016,R,MI,2016-03-08,primary
2016,R,MS,2016-03-08,primary
2016,R,DC,2016-03-12,SC??
2016,R,GU,2016-03-12,caucus
2016,R,WY,2016-03-12,CC??
2016,R,FL,2016-03-15,primary
2016,R,IL,2016-03-15,primary
2016,R,MO,2016-03-15,primary
2016,R,MP,2016-03-15,caucus
2016,R,NC,2016-03-15,primary
2016,R,OH,2016-03-15,primary
2016,R,VI,2016-03-19,caucus
2016,R,AS,2016-03-22,caucus
2016,R,AZ,2016-03-22,primary
2016,R,UT,2016-03-22,caucus
2016,R,ND,2016-04-03,SC??
2016,R,WI,2016-04-05,primary
2016,R,WY,2016-04-16,SC??
2016,R,NY,2016-04-19,primary
2016,R,CT,2016-04-26,primary
2016,R,DE,2016-04-26,primary
2016,R,MD,2016-04-26,primary
2016,R,PA,2016-04-26,primary
2016,R,RI,2016-04-26,primary
2016,R,IN,2016-05-03,primary
2016,R,NE,2016-05-10,primary
2016,R,WV,2016-05-10,primary
2016,R,OR,2016-05-17,primary
2016,R,WA,2016-05-24,primary
2016,R,CA,2016-06-07,primary
2016,R,MT,2016-06-07,primary
2016,R,NJ,2016-06-07,primary
2016,R,NM,2016-06-07,primary
2016,R,SD,2016-06-07,primary
